date,base_nav,ukf_timed_nav,rv_21d_timed_nav
2019-07-04,1.0241492451987382,1.079678018939247,1.052675388965954
2019-07-05,1.0242521136267215,1.0798570882073553,1.052857260839391
2019-07-08,1.0239640243260943,1.0793963989904065,1.0523384692392843
2019-07-09,1.024256288833977,1.0798637648626734,1.0528647795582329
2019-07-10,1.0243481433935973,1.0800106512796717,1.0530301913727595
2019-07-11,1.02437319463713,1.0800507112115802,1.0530753036858123
2019-07-12,1.02451576915378,1.08031671262602,1.0533235961334186
2019-07-15,1.0245829676506446,1.0804484959966292,1.053439195479356
2019-07-16,1.024633366523293,1.080547333524586,1.053525894988809
2019-07-17,1.0246669657717253,1.0806132252098908,1.0535836946617778
2019-07-18,1.0247047649262118,1.0806873533558585,1.0536487192938677
2019-07-19,1.024780352970466,1.0808125052556878,1.0537643285363507
2019-07-22,1.024822342699444,1.080873865869495,1.05382345083511
2019-07-23,1.0248055468078527,1.080849321623972,1.0537998019156063
2019-07-24,1.0249189190760937,1.0810149952812511,1.0539594321222567
2019-07-25,1.0250490872359257,1.0812052131840528,1.0541427112484107
2019-07-26,1.025479981139795,1.0814510389532825,1.05465066772046
2019-07-29,1.0254226846203491,1.0814244793009784,1.0545847006225046
2019-07-30,1.0255136290388849,1.0816212810354027,1.0547001028726057
2019-07-31,1.027612074476149,1.0831105890084305,1.0571518293689284
2019-08-01,1.028010582087482,1.0835552508586177,1.0576286197518214
2019-08-02,1.0273230744405843,1.0829298123862314,1.057035156532449
2019-08-05,1.0216198858841912,1.0780437214824679,1.051775819204947
2019-08-06,1.0268076966265418,1.0832573955145175,1.0558971900258802
2019-08-07,1.0296357716239644,1.0860275916325748,1.0582059259021106
2019-08-08,1.0328013671297167,1.088932283423469,1.0609591812317218
2019-08-09,1.0326382189680898,1.0888345231060963,1.0607696317630468
2019-08-12,1.0329821390165312,1.089228161818522,1.0607696317630468
2019-08-13,1.0320105648796845,1.0881161324559194,1.0607696317630468
2019-08-14,1.0331240060365134,1.0893905377873976,1.0607696317630468
2019-08-15,1.0334507300825326,1.089764494564202,1.0607696317630468
2019-08-16,1.0340671225058315,1.090644864575135,1.0608323128744468
2019-08-19,1.0337786712940504,1.0902172455266472,1.0607973758615352
2019-08-20,1.0341960509784995,1.0908136964334525,1.0608570298011948
2019-08-21,1.0338728072152157,1.0903270652217232,1.0608209124711694
2019-08-22,1.0343888226736484,1.0910790320330264,1.0608887209420428
2019-08-23,1.0327186355837836,1.0900253121120653,1.0601395149539208
2019-08-26,1.0348626728884913,1.092098884336062,1.060824259157418
2019-08-27,1.0354245553466503,1.0934371273243426,1.0611180003809275
2019-08-28,1.036427618105042,1.09466782288059,1.0614758227401153
2019-08-29,1.0367499358605243,1.0946451120066383,1.0615306717232325
2019-08-30,1.037808856386191,1.0965243823343118,1.062014485576332
2019-09-02,1.037808856386191,1.0965243823343118,1.062014485576332
2019-09-03,1.038321035450692,1.0973695230939227,1.0622690116180427
2019-09-04,1.0387286647950151,1.098055411911505,1.0624707923382184
2019-09-05,1.038627374841391,1.0978901398271,1.0624203455223753
2019-09-06,1.0390610438204748,1.0984333834234112,1.0626622691826229
2019-09-09,1.039106529807691,1.0984618658326466,1.062691979599732
2019-09-10,1.0392361732040831,1.0986200397521646,1.0627809352577873
2019-09-11,1.0356769295967363,1.0960041440777446,1.0604346181195605
2019-09-12,1.0367677532526849,1.0969489749251793,1.0611616562269086
2019-09-13,1.0397510735756754,1.098736522536057,1.0631085157839513
2019-09-16,1.0401616429003309,1.099455156699503,1.0633980563301197
2019-09-17,1.0404893648973284,1.0999534137858917,1.063664723800002
2019-09-18,1.0407235174345484,1.1003073423059306,1.0638562296953913
2019-09-19,1.040837140035232,1.1004648900226712,1.0639558547202863
2019-09-20,1.040556977057555,1.1004592983289292,1.063455617509051
2019-09-23,1.0410785373173754,1.100615494538576,1.0642930333172773
2019-09-24,1.0409299679305521,1.1005689388555522,1.0640519135999527
2019-09-25,1.0415016393017065,1.1007507116174646,1.0649829952807115
2019-09-26,1.0415881819260544,1.1007794649701161,1.0651254913980117
2019-09-27,1.0416272794943349,1.1007968149645115,1.0651729771757161
2019-09-30,1.041972639238781,1.1008642123987922,1.0658790394628626
2019-10-01,1.0420199444648315,1.1008805400840687,1.0659752414503174
2019-10-02,1.0421591998930975,1.1009715800163025,1.066255348576483
2019-10-03,1.0424744275898044,1.101075673167442,1.0668967479818618
2019-10-04,1.0417840155660185,1.0999276752692797,1.0655857777024884
2019-10-07,1.0421369711098674,1.1004739942013664,1.066260146965781
2019-10-08,1.042728430061677,1.1013865984511042,1.0673933729727922
2019-10-09,1.0429229035813414,1.101727931739823,1.0677206483763952
2019-10-10,1.0423484943411196,1.1008561174668459,1.066604179384548
2019-10-11,1.0376080288890301,1.0934060719244796,1.0579828319296483
